Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1241586,-,-,-,39.33,-74.1,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,30,0,-8.4,0,7.3,0.2,322,75.46,-4.7,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,0,0,-8.5,0,7.2,0.2,320,73.85,-4.5,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,30,0,-8.4,0,7.2,0.2,319,73.36,-4.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,0,0,-8.4,0,7.2,0.2,318,72.81,-4.3,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,30,0,-8.4,0,7.1,0.2,317,73.36,-4.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,0,0,-8.4,0,7,0.2,315,73.9,-4.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,30,0,-8.4,0,6.9,0.2,314,73.9,-4.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,0,0,-8.2,0,6.8,0.2,313,75.51,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,30,0,-8.2,0,6.7,0.2,312,75.51,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,0,0,-8.1,0,6.6,0.2,310,76.14,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,0,-8.1,0,6.6,0.2,310,76.14,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,0,0,-8,0,6.4,0.2,305,77.11,-4.6,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,0,-8,0,6.4,0.2,302,76.54,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,0,0,-7.9,0,6.4,0.2,298,77.08,-4.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,0,-7.9,0,6.6,0.2,296,76.5,-4.4,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,0,0,-7.7,0,6.8,0.2,294,76.9,-4.3,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,30,0,-7.7,0,7.1,0.2,295,76.9,-4.3,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,0,0,-7.7,0,7.4,0.2,295,76.68,-4.2,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,30,0,-7.7,0,7.6,0.2,296,77.84,-4.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,0,0,-7.7,0,7.8,0.2,297,79.04,-4.6,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,30,0,-7.7,0,8,0.2,298,80.25,-4.8,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,0,0,-7.7,0,8.1,0.2,298,81.13,-5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,30,0,-7.7,0,8.1,0.2,299,82.37,-5.2,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,1,0,0,-7.8,0,8.1,0.2,299,83.41,-5.4,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,1,30,0,-7.8,0,8.1,0.2,299,84.04,-5.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,0,0,-7.8,0,8.2,0.2,299,84.09,-5.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,30,0,-7.8,0,8.4,0.2,299,84.73,-5.6,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,0,0,-7.7,0,8.5,0.3,300,85.89,-5.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,30,0,-7.7,0,8.5,0.3,300,85.89,-5.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,0,0,-7.6,0,8.6,0.3,300,87.39,-5.8,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,30,0,-7.6,0,8.4,0.3,301,86.73,-5.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,0,0,-7.5,0,8.3,0.3,301,87.32,-5.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,30,0,-7.5,0,8,0.3,301,87.32,-5.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,0,0,-7.3,0,7.8,0.3,301,88.17,-5.7,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,30,0,-7.3,0,7.7,0.3,300,88.17,-5.7,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,0,0,-7.2,0,7.6,0.3,300,88.53,-5.6,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,0,-7.2,0,7.4,0.3,299,87.2,-5.4,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,0,0,-7,0,7.3,0.3,299,87.19,-5.2,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,30,0,-7,0,7.2,0.3,299,84.59,-4.8,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,0,0,-6.8,0,7.1,0.3,300,83.87,-4.5,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,30,0,-6.8,0,6.9,0.3,300,81.39,-4.1,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,0,0,-6.7,0,6.7,0.3,301,79.49,-3.7,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,30,0,-6.7,0,6.4,0.3,299,77.73,-3.4,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,0,0,-6.8,0,6.1,0.3,297,75.01,-3,1033,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,0,-6.8,0,6,0.3,293,73.29,-2.7,1032,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
